DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
5/5/2011,479.29,VNINDEX,485.96,486.99,476.48,16288750
5/6/2011,472.71,VNINDEX,472.52,473.63,470.13,14997140
5/9/2011,477.47,VNINDEX,469.01,477.47,467.77,16398710
5/10/2011,481.29,VNINDEX,479.01,481.69,478.58,14589400
5/11/2011,483.15,VNINDEX,479.07,483.74,479.06,15499200
5/12/2011,482.14,VNINDEX,483.1,484.74,480.13,14798160
5/13/2011,479.67,VNINDEX,482.01,482.51,478.58,16906020
5/16/2011,471.49,VNINDEX,482.01,481.51,471.49,18741240
5/17/2011,464.35,VNINDEX,471.49,474.57,464.35,20824430
5/18/2011,454.91,VNINDEX,457.92,459.19,451.49,25478660
5/19/2011,444.85,VNINDEX,450.92,456.47,444.85,20677330
5/20/2011,432.87,VNINDEX,439.95,444.85,432.24,24896000
5/23/2011,417.82,VNINDEX,429.74,430.54,416.14,28805780
5/24/2011,402.59,VNINDEX,407.13,407.61,402.07,32695470
5/25/2011,386.36,VNINDEX,388.64,389.9,385.72,28819230
5/26/2011,398.04,VNINDEX,386.36,398.04,371.03,41625890
5/27/2011,410.82,VNINDEX,406.75,410.82,405.78,26609500
5/30/2011,412.1,VNINDEX,417.07,417.35,412,24198710
5/31/2011,421.37,VNINDEX,414.98,421.37,414.88,19763890
6/1/2011,435.69,VNINDEX,422.98,435.69,420.88,28167240
6/2/2011,450.59,VNINDEX,446.66,450.59,445.98,31454970
6/3/2011,443.41,VNINDEX,461.93,461.93,436.5,44203980
6/6/2011,433.81,VNINDEX,434.97,436.91,430.15,18826220
6/7/2011,443.68,VNINDEX,443.11,448.4,441.4,29655170
6/8/2011,439.57,VNINDEX,445.43,446.99,436.15,32255700
6/9/2011,443.95,VNINDEX,439.82,444.13,437.87,26247260
6/10/2011,445,VNINDEX,446.54,451.81,445,38338750
6/13/2011,442.69,VNINDEX,443.49,446.12,442.02,33418190
6/14/2011,441.54,VNINDEX,441.09,452.55,440.57,55335130
6/15/2011,441.45,VNINDEX,442.85,443.41,436.24,40589410
6/16/2011,445.17,VNINDEX,439.58,445.66,438.51,31584930
6/17/2011,438.93,VNINDEX,445.88,446.98,438.64,45206070
6/20/2011,431.63,VNINDEX,438.13,440.17,431.59,32334480
6/21/2011,442.74,VNINDEX,432.81,442.74,432.81,24798840
6/22/2011,439.63,VNINDEX,444.28,445.49,439.29,21760520
6/23/2011,434.75,VNINDEX,436.85,440.51,434.4,17521100
6/24/2011,433.4,VNINDEX,436.17,436.2,432.79,17481110
6/27/2011,434.25,VNINDEX,436.95,438.53,433.62,17300580
6/28/2011,432.31,VNINDEX,434.05,435.86,430.91,19028520
6/29/2011,434.6,VNINDEX,433.07,434.92,430.91,17262650
6/30/2011,432.54,VNINDEX,435.21,435.63,432.17,16742520
7/1/2011,425.29,VNINDEX,429.91,430.04,424.26,21792360
7/4/2011,425.42,VNINDEX,425.04,426.17,423.39,15307620
7/5/2011,431.03,VNINDEX,427.54,434.07,427.54,19330750
7/6/2011,428.3,VNINDEX,432.15,432.8,428.21,13494500
7/7/2011,429.99,VNINDEX,426.64,431.03,426.53,14604310
7/8/2011,430.32,VNINDEX,428.81,431.35,428.75,15893240
7/11/2011,425.09,VNINDEX,429.41,429.63,425.08,15228610
7/12/2011,417.25,VNINDEX,422.13,423.93,416.94,18044190
7/13/2011,418.18,VNINDEX,422.17,422.69,417.64,17240390
7/14/2011,418.93,VNINDEX,418.07,419.58,414.27,15529830
7/15/2011,414.74,VNINDEX,419.82,419.82,412.52,16688420
7/18/2011,415.77,VNINDEX,412.9,415.77,411.22,15462900
7/19/2011,410.12,VNINDEX,414.4,415.43,409.16,12951780
7/20/2011,416.77,VNINDEX,410.2,416.77,410.2,16317620
7/21/2011,413.06,VNINDEX,416.24,417.06,412.21,15390680
7/22/2011,409.2,VNINDEX,412.97,412.97,408.96,12651350
7/25/2011,409.36,VNINDEX,409.11,410.38,407.58,10512550
7/26/2011,409.39,VNINDEX,408.93,410.79,407.31,14611410
7/27/2011,409.4,VNINDEX,409.54,409.81,406.45,13990820
7/28/2011,408.39,VNINDEX,409.18,411.36,408.18,14589930
7/29/2011,405.7,VNINDEX,407.58,409.04,402.2,15606540
8/1/2011,401.95,VNINDEX,404.84,404.91,400.49,15921840
8/2/2011,396.55,VNINDEX,398.92,400.11,396.23,19056510
8/3/2011,391.47,VNINDEX,393.6,394.15,388.79,21451520
8/4/2011,396.05,VNINDEX,392.93,398.74,392.92,22740560
8/5/2011,400.88,VNINDEX,394.89,401.01,394.83,19998550
8/8/2011,396.41,VNINDEX,399.24,400.69,395.14,19929670
8/9/2011,387.7,VNINDEX,388.78,388.82,385.76,31784690
8/10/2011,385.96,VNINDEX,388.61,390.88,385.33,19474270
8/11/2011,384.44,VNINDEX,380.97,384.44,379.84,15699460
8/12/2011,383.92,VNINDEX,385.16,387.13,383.58,13694020
8/15/2011,384.32,VNINDEX,384.47,384.97,383.37,12784520
8/16/2011,386.48,VNINDEX,383.96,388.58,383.66,13602570
8/17/2011,393.46,VNINDEX,387.65,393.46,387.65,21505730
8/18/2011,402.89,VNINDEX,398.21,402.89,397.7,27398650
8/19/2011,400.76,VNINDEX,399.98,400.76,396.2,21476780
8/22/2011,406.03,VNINDEX,401.87,406.75,401.87,27931820
8/23/2011,401.28,VNINDEX,405.19,405.19,401.23,25500990
8/24/2011,396.68,VNINDEX,403.21,406.29,396.68,25328760
8/25/2011,401.65,VNINDEX,398.46,402.19,397.93,22937350
8/26/2011,404.41,VNINDEX,403.21,405.96,402.81,23144300
8/29/2011,413.37,VNINDEX,405.89,413.37,405.26,32266490
8/30/2011,419.26,VNINDEX,421.81,423.01,416.84,39535740
8/31/2011,424.71,VNINDEX,421.45,426.29,417.79,40624520
9/1/2011,435.29,VNINDEX,429.49,435.29,429.31,47176370
9/5/2011,435.73,VNINDEX,438.35,439.82,432.07,49711930
9/6/2011,436.16,VNINDEX,434.02,437.58,430.82,37092010
9/7/2011,443.99,VNINDEX,444.4,445.72,440.44,41854450
9/8/2011,453.26,VNINDEX,450.4,457.41,449.97,55809690
9/9/2011,459.92,VNINDEX,452.94,460.17,452.33,42499540
9/12/2011,462.93,VNINDEX,461.14,465.41,460.49,45092230
9/13/2011,469.4,VNINDEX,469.5,471.07,466.69,62235100
9/14/2011,466.99,VNINDEX,469.33,475.45,466.99,73282634
9/15/2011,470.67,VNINDEX,462.72,470.9,461.31,56292580
9/16/2011,457.11,VNINDEX,470.87,473.56,457.11,51789700
9/19/2011,461.68,VNINDEX,450.21,461.68,449.5,37011670
9/20/2011,454.37,VNINDEX,459.32,459.32,454.17,38785810
9/21/2011,447.57,VNINDEX,451.99,454.48,446.65,37266820
9/22/2011,449.26,VNINDEX,443.3,449.3,441.67,36814710
9/23/2011,440.3,VNINDEX,439.61,442.14,438.58,32491970
9/26/2011,434.43,VNINDEX,436.63,444.4,431.78,27404550
9/27/2011,437.47,VNINDEX,434.02,440.95,431.86,30068540
9/28/2011,433.97,VNINDEX,441.53,442.53,433.97,32160640
9/29/2011,428.08,VNINDEX,431.8,433.38,425.02,56543580
9/30/2011,427.6,VNINDEX,426.13,433.09,424.64,29289990
10/3/2011,422.12,VNINDEX,426.43,428.28,422.12,26605920
10/4/2011,418.18,VNINDEX,417.46,420.46,415.35,27141370
10/5/2011,417.21,VNINDEX,420.74,422.71,415.85,34989030
10/6/2011,421.32,VNINDEX,417.94,423.08,417.94,30463810
10/7/2011,417.96,VNINDEX,423.46,423.74,417.96,27044370
10/10/2011,419.66,VNINDEX,416.77,421.52,415.73,20138130
10/11/2011,417.73,VNINDEX,421,421.29,417.35,23093700
10/12/2011,410.91,VNINDEX,414.41,415.37,409.3,32519160
10/13/2011,412.59,VNINDEX,411.17,413.71,407.61,24413930
10/14/2011,414.49,VNINDEX,413.12,415.62,413.09,19965800
10/17/2011,410.84,VNINDEX,415.52,415.52,410.33,20921590
10/18/2011,404.32,VNINDEX,407.44,408.11,404.32,21473490
10/19/2011,401.15,VNINDEX,404.32,407.02,399.08,19786910
10/20/2011,403.73,VNINDEX,402.86,404.85,401.62,13655790
10/21/2011,411.03,VNINDEX,405.44,411.79,405.44,22498990
10/24/2011,414.46,VNINDEX,415.9,418.34,414.46,19773030
10/25/2011,409.38,VNINDEX,416.06,417.07,409.38,17956640
10/26/2011,412.1,VNINDEX,410.42,413.66,410.35,18505100
10/27/2011,414.75,VNINDEX,414.63,415.59,412.79,18063250
10/28/2011,422.07,VNINDEX,418.83,422.45,415.52,36267381
10/31/2011,420.81,VNINDEX,426.89,428.86,420.81,35210550
11/1/2011,413.82,VNINDEX,418.77,419.16,412.6,27176620
11/2/2011,407.79,VNINDEX,410.02,412.06,407.07,24418500
11/3/2011,408.44,VNINDEX,408.18,410.48,405.72,21944380
11/4/2011,410.57,VNINDEX,411.22,412.79,410.37,21569560
11/7/2011,410.52,VNINDEX,409.78,413.94,408.66,25581440
11/8/2011,408.6,VNINDEX,408.36,409.76,405.17,21847320
11/9/2011,405.19,VNINDEX,409.19,410.21,404.18,17097170
11/10/2011,401.03,VNINDEX,402.47,402.47,399.29,20710210
11/11/2011,396.3,VNINDEX,399.67,403.4,396.3,21875250
11/14/2011,391.74,VNINDEX,397.52,397.7,389.04,27130240
11/15/2011,387.87,VNINDEX,391.63,393.46,386.47,26963620
